1	Homecoming	
Transcription: "Kikyō" (Japanese: 帰郷)	February 15, 2007	October 28, 2009[14]
The episode begins with the preview of episode 51 with Naruto Uzumaki, Sakura Haruno and Sai reuniting with Sasuke Uchiha who seeks Naruto's power and suppress the Nine-Tailed Fox within his subconscious. The first episode begins with Naruto returning home after two and a half years of training with Jiraiya, and seeing Sakura and Konohamaru, many people from the village congratulate him. Konohamaru and his fellows are on a mission and somehow successfully complete it. Jiraiya accompanies Naruto home and meets Tsunade who assigns Naruto and Sakura on their first mission, but first they must defeat someone to prove their growth and progress in the last two and a half years.		
2	The Akatsuki Makes Its Move	
Transcription: "Akatsuki, Shidō" (Japanese: 暁, 始動)	February 15, 2007	October 28, 2009[14]
Learning that all of his friends were promoted to Chunin, Neji Hyuga as Jonin and Gaara as the Fifth Kazekage, Naruto gives a copy of Jiraiya's new book Make-Out Tactics to Kakashi Hatake, who challenges Naruto and Sakura for the bell retrieval test. Jiraiya converses with Kakashi about the Akatsuki searching for the Tailed Beasts and Gaara who is in the Hidden Sand Village, before Yura senses Sasori and Deidara arriving there to capture the One-Tailed's Jinchuriki Gaara. Meanwhile, in the Hidden Leaf Village, Sakura and Naruto fight Kakashi with their new skills and strength.		
3	The Results of Training	
Transcription: "Shugyō no Seika" (Japanese: 修業の成果)	February 22, 2007	October 28, 2009[14]
Naruto attacks Kakashi using shadow clones, using a new strategy which is very different from his previous head on attacks and surprises Kakashi. Sakura also shows her true beastly strength that she gained through the training from Lady Tsunade. Kakshi finds it hard to dodge every attack and relies on his Sharingan. As they fight, Kakashi reminisced about Team 7 from two years back and how they were so weak then, understanding that the same old tricks won't work on Sakura and Naruto again. Meanwhile that night, in the Hidden Sand, Deidara (a member of the Akatsuki) stealthily infiltrates the village from the air and is confronted by Gaara who attempts to chase him off.		
4	The Jinchuriki of the Sand	
Transcription: "Suna no Jinchūriki" (Japanese: 砂の人柱力)	March 1, 2007	October 28, 2009[14]
Gaara's sand tries to chase Deidara who seems to flee on his clay bird around the Hidden Sand. Deidara tries a few attacks and blows which Gaara easily evades. Finally, Gaara uses his sand as a complete shield and envelopes himself in it. Deidara wonders how he should capture the Jinchuriki. In the Hidden Leaf, Kakashi uses water, fire and earth techniques and quickly takes on the offensive, Naruto and Sakura try to defend but understand that they need a new strategy. Naruto, knowing about Kakashi's love for the book " Make-Out Tactics" threatens him to tell him a big spoiler. As Kakashi covers his ears, Naruto and Sakura retrieves the bells from his hand. Meanwhile, Gaara takes on the defensive.		
5	The Kazekage Stands Tall	
Transcription: "Kazekage to shite...!" (Japanese: 風影として...!)	March 15, 2007	November 4, 2009[15]
Naruto and Sakura rest. Deidara plants a bomb inside Gaara's shield but Gaara prevents it using sand body armor. Later, Gaara brings out the Shukaku and attacks Deidara with Shukaku's huge hands, in which he catches Deidara's arm and breaks it using the Sand Coffin Technique. Deidara plants small bombs in the sand which later blow up in Gaara's face, weakening him. Later Deidara summons a huge puppet, which is an explosive named C3 with great destructive properties, and drops it on the Hidden Sand. Kankuro, the General and the entire village watch this and run. Naruto and Jiraiya eat Ramen as Naruto fails to go on a date with Sakura.		
6	Mission Cleared	
Transcription: "Norumakuriā" (Japanese: ノルマクリアー)	March 29, 2007	November 11, 2009[15]
Gaara blocks the C3 explosion using a big sand umbrella covering the Hidden Sand. Kankuro recalls the day that Gaara became Kazekage and how he promised he would control his beast and use it faithfully to protect the Hidden Sand and take responsibility. The villagers thank Gaara and acknowledges that he is a true Kazekage. Gaara pulls his sand back outside the village and deposits it there, before Deidara uses exploding clay spiders to knock Gaara unconscious and captures him. Diedara plants explosive spiders in Gaara's armor and defeats him. He carries Gaara's body using the tail of his clay bird and flees out of the Hidden Sand. Meanwhile, Iruka and Naruto discuss Naruto's growth and his ambitions over a bowl of Ramen. Naruto promises Iruka that, like Gaara, he would also achieve his dream of becoming the Hokage.		
7	Run, Kankuro	
Transcription: "Hashire Kankurō" (Japanese: 疾走れカンクロウ)	March 29, 2007	November 18, 2009[15]
As Deidara returns with Gaara, Sasori plants traps in the aisle of the entry to the Hidden Sand for the village's ninjas that were chasing after them. Several ninjas die in their hurry to catch Deidara but Kankuro manages to save two of them from the traps and hastily traces the footsteps of Sasori. After Kankuro catches up to them, Sasori orders Deidara to leave with Gaara and while he stops to kill Kankuro. Alone in the desert, Kankuro uses the Puppet Technique on the Crow, Black Ant and Salamander to challenge Sasori the next day. The Hidden Sand delivers a message on the hawk Takamaru for the Hidden Leaf. Naruto takes up in his room and has a few memories. Shikamaru accompanies Temari as she prepares to leave the Hidden Leaf and head back to the Hidden Sand.		
8	Team Kakashi, Deployed	
Transcription: "Shutsugeki, Kakashi-han" (Japanese: 出撃, カカシ班)	April 12, 2007	December 2, 2009[15]
Kankuro fails to attack Sasori who uses his stinging tail to destroy Kankuro's puppets and injures Kankuro with the three day poison, before Sasori declares that he created Kankuro's puppets and leaves. Meanwhile, the Hidden Leaf receives the emergency letter from the Hidden Sand. An expert deciphers the letter and reports to Tsunade that Gaara, the Kazekage of the Hidden Sand has been attacked and kidnapped by the Akatsuki. Tsunade, immediately understanding the emergency, assigns Naruto, Sakura and Kakashi to rescue Gaara. Naruto is angered and wanting an S-rank mission is prepared to do anything to rescue Gaara.		
9	The Jinchuriki's Tears	
Transcription: "Jinchūriki no Namida" (Japanese: 人柱力の涙)	April 12, 2007	December 9, 2009[15]
The Hidden Sand repairs the damages around the mountain area and removes the explosives set on the walls. Temari gets the bad news and worries about her brother and joins Team Kakashi. Naruto, Sakura, Kakashi and Temari move through the forest and recalls their past about Gaara and how he countered the tailed beast sealed within him, about the Chunin Exams and Sasuke. Naruto regrets that Itachi met Sasuke which led to a division in their previous Team 7. The Hidden Sand's medical ninjas fail to find a cure to Kankuro's poisoning. Baki witnesses Kankuro's suffering in the hospital, and informs Chiyo and her brother, Ebizo, the two elder Councillors of the village about the Akatsuki. The Hidden Sand's villagers discuss their loss and what they should do and plan the next step.		
10	Sealing Technique: Phantom Dragons Nine Consuming Seals	
Transcription: "Fūin Jutsu: Genryū Kyū Fūjin" (Japanese: 封印術·幻龍九封尽)	April 19, 2007	December 16, 2009[15]
Deidara and Sasori follow the tracks to their destination. Chiyo and Ebizo try to use all their knowledge and techniques but cannot understand how to heal Kankuro. Team Kakashi take a short rest for the night. Deidara and Sasori arrive at the hideout cave, where their leader gathers with them and the rest of the Akatsuki. Using astral projection, they took three full days to extract and seal Shukaku from Gaara within the Gedo Statue. All the members of the Akatsuki concentrate on the Phantom Dragons Nine Consuming Seals Technique. Seeing that the need is dire and urgent Tsunade assigns Team Guy as backup support for Team Kakashi. The group arrive at the Hidden Sand after withstanding a strong sandstorm, where they meet with Chiyo who attacks Kakashi, mistaking him for his father, Sakumo Hatake.		
11	The Medical Ninja's Student	
Transcription: "Iryō Ninja no Deshi" (Japanese: 医療忍者の弟子)	April 26, 2007	December 23, 2009[15]
Kakashi reasons with Chiyo and Sakura removes the poison from Kankuro to create an antidote taught by Tsunade. Kankuro gives Sasori's torn mask cloth to Pakkun, the Ninja Dog Kakashi summoned, who senses it. Kankuro asks Naruto to save Gaara.		
12	The Retired Granny's Determination	
Transcription: "Inkyo Babā no Ketsui" (Japanese: 隠居ババアの決意)	May 3, 2007	December 31, 2009[15]
The process of the extraction of Shukaku from Gaara has begun at the Gedo Statue. The next day Naruto wakes up and notices Pakkun. Kakashi, Naruto, Sakura and Chiyo leave the Hidden Sand to get Gaara back from the Akatsuki. Pakkun joins with them and informs Team Guy about the cave in the Land of Rivers, while Chiyo tells them about the tailed beasts, two of which are sealed inside Gaara and Naruto and there are seven others in the world. She also gives a brief account of their history. Temari is given another mission with a squad, to protect the boundary of the villages, should the weakness of the Hidden Sand be revealed. Team Guy also progresses through the forest to reach the Akastuki's hideout. Zetsu notices the arrival of both teams and informs his leader to send Itachi and Kisame to attack them and to give them some more time to complete the extraction and sealing of Shukaku from Gaara's body. Kisame confronts Team Guy and traps Lee, Neji and Tenten with the Water Prison Technique while Itachi takes on Team Kakashi, bringing back some memories.		
13	A Meeting With Destiny	
Transcription: "Innen Aimamieru" (Japanese: 因縁あいまみえる)	May 10, 2007	December 31, 2009[15]
The Akatsuki continues the extraction process. Team Guy fights with Kisame as he builds up a huge flow of water and attacks constantly using his legendary sword, Samehada. He constantly pursues and asks Might Guy whether he recognizes him and have they met somewhere before. Sensing the opponent is a better one, Guy switches to maximum power as Kisame traps his students in Water Prison Technique. Team Kakashi confronts Itachi. Despite Kakashi's warning, Itachi uses his Mangekyo Sharingan on Naruto into confronting illusions. Naruto doesn't understand what it is and wastes his chakra by attacking crow clones of Itachi. He reveals his new move, Big Ball Rasengan, which has a bigger attack and damage cover. Itachi states that Naruto has improved but still won't be able to defeat him.		
14	Naruto's Growth	
Transcription: "Naruto no Seichō" (Japanese: ナルトの成長)	May 17, 2007	December 31, 2009[15]
Naruto remembers his Genjutsu breaking training sessions with Jiraiya and uses them to escape Itachi's Illusionary Technique. Guy fails to steal Samehada and hurts his own hands instead. Kisame is angered and tosses Guy deep down into the sea and send five huge chakra sharks which relentlessly attack Guy who is hurt. Guy, out of patience, opens the sixth Inner Gate and uses the Morning Peacock Technique to end the fight with Kisame, while Lee, Neji and Tenten breaks free from the Water Prison Technique.		
15	The Secret Weapon is Called....	
Transcription: "Kakushidama Nazukete" (Japanese: 隠し玉 名付けて...!)	May 24, 2007	December 31, 2009[15]
Itachi uses shuriken inside the crows to immobilize Naruto, but Chiyo and Sakura free Naruto from Itachi's Illusionary Technique. Naruto and Kakashi together defeats Itachi who turns out to be Yura (a jonin-level ninja from the Hidden Sand) Chiyo wonders what kind of dark and powerful jutsu is this which allows all the abilities and powers to be transferred to an entirely different person. Furious, Guy opens his sixth Inner Gate and gaining much power ruthlessly attacks and kills Kisame who is later identified as Mukade (yet another jonin-level ninja from the Hidden Sand), stating the same case as Team Kakashi. They learn that Itachi and Kisame used the two ninjas to create clones to distract them.		
16	The Secret of Jinchuriki	
Transcription: "Jinchūriki no Himitsu" (Japanese: 人柱力の秘密)	May 31, 2007	January 6, 2010[15]
Kisame and Itachi report to the Akatsuki that now that the Hidden Leaf's ninjas have been warded off and that they have enough time to focus and complete the extraction and sealing of Shukaku. Chiyo explains that the Jinchuriki (such as Gaara and Naruto) always carry the Tailed Beasts within them and when the beast is extracted from the host, the host dies. Naruto, furiously vows that he will save Gaara and hurries. Meanwhile, in the Hidden Sand, the advisory council argues about Yura and his loyalty and also about the change in Kazekage position, due to which Kankuro becomes furious and attacks one of the elders. The elders state that if Gaara does not return soon then decisions must be taken. Team Kakashi rests for some moments much to Naruto's unwillingness.		
17	The Death of Gaara!	
Transcription: "Gaara Shisu!" (Japanese: 我愛羅死す!)	June 7, 2007	January 13, 2010[15]
After reminiscing Sasori and his parents, Chiyo tells the group that she was responsible for sealing the One-Tailed Shukaku inside of Gaara before arriving to the cave entrance. Team Kakashi and Team Guy arrive at the Akatsuki's hideout and greet each other discussing the direness of the situation. The Akatsuki finishes the sealing of Shukaku into the Gedo Statue which apparently kills Gaara. Kankuro watches as the photo of Gaara shatters.		
18	Charge Tactic! Button Hook Entry!!	
Transcription: "Totsunyū! Botan Fukku Entorī" (Japanese: 突入!ボタンフックエントリー)	June 21, 2007	January 20, 2010[15]
